authorName,hIndex
Melanie Tory,1
Brittany Fiore-Gartland,1
Anamaria Crisan,1
K.L. Choy,1
K. Ng,1
Y. Lv,1
C.K.M. Lee,1
W. Ho,1
Alexey Kurakin,1
Samy Bengio,1
Elzbieta Malinowski,1
T. Hernandez-Boussard,1
J. Brooks,1
D. Blayney,1
Tina Seto,1
R. Arora,1
P. Pahwa,1
Shubha Bansal,1
S. Athey,1
Peng Cui,1
Elvira Narro Artigot,1
M. Melideo,1
J. Kustra,1
S. Rüping,1
Wessel Kraaij,1
Adrienne Heinrich,1
M. Petkovic,1
Ziawasch Abedjan,1
F. Aarestrup,1
Ernestina Menasalvas Ruiz,1
W. Verachtert,1
Cristóbal Costa Soria,1
S. Consoli,1
N. Boujemaa,1
S. Chatterjea,1
Marija Despenic,1
A. Lojo,1
Dirk Hamelinck,1
John Thoms,1
Roland Roller,1
Gisele Roesems Kerremans,1
S. Campbell,1
Marga Martin Sanchez,1
F. Sasaki,1
M. Romão,1
Paul Czech,1
A. R. González,1
M. Mayer,1
Chiara Garattini,1
N. Stojanović,1
Andrejs Vasiljevs,1
Patricia Casla,1
Wouter Spek,1
D. R. Recupero,1
Roel Wuyts,1
Byunghee Kang,1
Sungho Lee,1
Heonjong Han,1
Michael Chung,1
Eunbeen Kim,1
Dabin Jeong,1
S. Nam,1
Yaeji Kim,1
Ha-eun Jung,1
Jae-Won Cho,1
Muyoung Lee,1
Hyojin Kim,1
Jong-Hoon Kim,1
D. Bae,1
Sangyoung Lee,1
Chan Yeong Kim,1
Sunmo Yang,1
Ayoung Yun,1
Hyeon-Nae Jeon,1
Insuk Lee,1
Bradley C. Boehmke,1
Brandon M. Greenwell,1
F. Doshi-Velez,1
Been Kim,1
G. Mujtaba,1
Muhammad Arif,1
Seokju Lee,1
François Rameau,1
In-So Kweon,1
Inkyu Shin,1
Fei Pan,1
Thilini Ariyachandra,1
H. Watson,1
C. M. Bishop,1
Jason Tsay,1
David Piorkowski,1
Ingrid Lange,1
T. Erickson,1
Q. Liao,1
S. Jarvis,1
E. Eastoe,1
P. Young,1
G. Blair,1
P. Henrys,1
J. Watkins,1
A. Leeson,1
Henry E. Brady,1
Sandra Metzl,1
Michael Opitz,1
Thorsten Liebig,1
V. Vialard,1
Jianfeng Gao,1
Xiaodong He,1
Larry Heck,1
A. Acero,1
Po-Sen Huang,1
Zheng Shao,1
Namit Jain,1
Yin Huai,1
Xiaodong Zhang,1
Zhiwei Xu,1
Yongqiang He,1
Rubao Lee,1
K. Devi,1
T. Kumar,1
Richard McVeigh,1
Tamara Goldfarb,1
Michael DiCuccio,1
B. Rajput,1
Andrei Shkeda,1
O. Blinkova,1
Mathew W. Wright,1
Jinna Choi,1
Michael R. Murphy,1
Eneida L. Hatcher,1
Wenjun Li,1
V. Brover,1
Susan S. Storz,1
Daniel Rausch,1
V. Chetvernin,1
Yīmíng Bào,1
S. Pujar,1
B. Smith-White,1
Patrick Masterson,1
A. Vatsan,1
Craig Wallin,1
C. Farrell,1
Diana Haddad,1
Azat Badretdin,1
R. E. Tully,1
Danso Ako-Adjei,1
Tripti Gupta,1
K. O'Neill,1
Lillian D. Riddick,1
Alex Astashyn,1
O. Ermolaeva,1
Wendy Wu,1
Hanzhen Sun,1
David Webb,1
Eric Cox,1
I. Tolstoy,1
S. Ciufo,1
V. Joardar,1
Vamsi K Kodali,1
B. Robbertse,1
Xuezhi Wang,1
A. Montanari,1
Ghassen Jerfel,1
K. Heller,1
Jonathan Deaton,1
Jacob Eisenstein,1
D. Moldovan,1
C. McLean,1
N. Houlsby,1
Steve Yadlowsky,1
F. Hormozdiari,1
Vivek Natarajan,1
B. Alipanahi,1
T. Yun,1
R. Raman,1
Zachary Nado,1
Yi-An Ma,1
Mario Lucic,1
A. Karthikesalingam,1
R. Sayres,1
T. Osborne,1
Max Vladymyrov,1
Shannon Sequeira,1
A. D'Amour,1
D. Sculley,1
Christopher Nielson,1
Jessica Schrouff,1
Ben Adlam,1
A. Mitani,1
Harini Suresh,1
Kellie Webster,1
Christina Chen,1
Alex Beutel,1
M. Hoffman,1
Shaobo Hou,1
Diana Mincu,1
K. Ramasamy,1
Xiaohua Zhai,1
Victor Veitch,1
C. Rivoire,1
A. Bridge,1
J. Gough,1
H. Mi,1
Christian J. A. Sigrist,1
Ivica Letunic,1
Swaathi Kandasamy,1
Hsin-Yu Chang,1
M. Necci,1
T. Paysan-Lafosse,1
A. P. Pandurangan,1
Gift Nuka,1
C. Orengo,1
I. Sillitoe,1
Cathy H. Wu,1
Matthias Blum,1
Tiago Grego,1
Chris Boursnell,1
K. Forslund,1
Ningze Pang,1
A. Heger,1
J. Clements,1
L. Holm,1
Andrew L. Ferguson,1
W. James Murdoch,1
Karl Kumbier,1
Bin Yu,1
R. Abbasi-Asl,1
Chandan Singh,1
Washington,1
California LosAngeles,1
Tiffany Rolle,1
Honolulu,1
M. Schatz,1
Joseph Wilcox,1
Bethesda.,1
Department of Materials Science,1
S. Hakim,1
Border Biomedical Research Center,1
Ponce,1
Montgomery College,1
Mentewab Ayalew,1
U. Fish,1
M. Campbell,1
D. College,1
Katherine E. L. Cox,1
University of Puerto Rico at Aguadilla,1
Mt,1
Claflin University,1
Andrew Lee,1
Petersburg,1
Pr,1
Carolina,1
National Research Centre Kurchatov Institute,1
Department of Neurobiology,1
B. Department,1
D. Biostatistics,1
F. Tan,1
Wildlife,1
