authorName,hIndex
Fabian Pedregosa,1
M. Perrot,1
F. Sebastiani,1
J. Ales,1
A. Kreshuk,1
Jaime I Cervantes,1
Fynn Beuttenmueller,1
Buote Xu,1
Carsten Haubold,1
Thorben Kroeger,1
A. Wolny,1
D. Kutra,1
T. Beier,1
C. Straehle,1
Martin Schiegg,1
S. Berg,1
Chong Zhang,1
U. Köthe,1
Kemal Eren,1
F. Hamprecht,1
Bernhard X. Kausler,1
Markus Rudy,1
R. Rosati,1
Antonella Poggi,1
Giuseppe De Giacomo,1
D. Lembo,1
M. Lenzerini,1
G. Hutchison,1
T. Vandermeersch,1
David C. Lonie,1
E. Zurek,1
D. Curtis,1
M. Hanwell,1
Rudra P. K. Poudel,1
R. Cipolla,1
Stephan Liwicki,1
Dabin Jeong,1
D. Bae,1
Michael Chung,1
Byunghee Kang,1
Jae-Won Cho,1
Muyoung Lee,1
Ha-eun Jung,1
Eunbeen Kim,1
Chan Yeong Kim,1
Yaeji Kim,1
Sungho Lee,1
Hyeon-Nae Jeon,1
Insuk Lee,1
S. Nam,1
Hyojin Kim,1
Jong-Hoon Kim,1
Sunmo Yang,1
Heonjong Han,1
Ayoung Yun,1
Sangyoung Lee,1
Christoph Gröger,1
B. Mitschang,1
H. Schwarz,1
T. K. Das,1
Arati Mohapatro,1
M. Cerezo,1
L. Cincio,1
Patrick J. Coles,1
Guillaume Verdon,1
A. Bradley,1
L. Oneto,1
S. Chiappa,1
Shai Shalev-Shwartz,1
Shai Ben-David,1
Shengbo Wang,1
Anika Frericks-Zipper,1
Chakradhar Bandla,1
Selvakumar Kamatchinathan,1
Ananth Prakash,1
D. García-Seisdedos,1
Gregor Wernet,1
E. Moreno-Ruiz,1
B. Weidema,1
Jürgen Reinhard,1
B. Steubing,1
C. Bauer,1
Pablo Tamayo,1
A. Subramanian,1
Reid Pinchback,1
A. Bax,1
Gabriel Cornilescu,1
F. Delaglio,1
A. Hussain,1
D. Al-Jumeily,1
A. Aljaaf,1
M. Alloghani,1
J. Mustafina,1
Bin Yu,1
Mário R. G. Marques,1
Jonathan Schmidt,1
Miguel A. L. Marques,1
S. Botti,1
César A. Hidalgo,1
Emanuel Zgraggen,1
Madelon Hulsebos,1
Arvind Satyanarayan,1
Tim Kraska,1
K. Hu,1
Michiel A. Bakker,1
cCaugatay Demiralp,1
Yi Yang,1
Zhedong Zheng,1
Chao Wu,1
J. Rhee,1
Zhiqiang Lin,1
X. Zhang,1
Dongyan Xu,1
A. Murzin,1
S. Brenner,1
C. Chothia,1
T. Hubbard,1
James A. Overton,1
Jason R. Cantrell,1
Sandeep Kumar Dhanda,1
R. Vita,1
Swapnil Mahajan,1
D. Wheeler,1
Sheridan Martini,1
A. Sette,1
Bjoern Peters,1
Radhika Varambally,1
D. Rhodes,1
Nandan P. Deshpande,1
Jianjun Yu,1
A. Chinnaiyan,1
T. Barrette,1
A. Pandey,1
K. Shanker,1
D. Ghosh,1
Xiaosong Huang,1
N. Rawlings,1
A. Barrett,1
P. L. Combettes,1
J. Pesquet,1
V. Curcin,1
M. Greiver,1
Sarah E. Rodgers,1
M. Sperrin,1
J. Bowles,1
E. Ford,1
R. Aldridge,1
A. Boyd,1
K. Harron,1
V. Katikireddi,1
A. Havard,1
G. Binkley,1
B. Hitz,1
Julie Park,1
K. Karra,1
A. Gosain,1
Meena Arora,1
J. D. Tygar,1
B. Nelson,1
A. Joseph,1
Ling Huang,1
Benjamin I. P. Rubinstein,1
Andreas Bohne-Lang,1
Benedikt Brors,1
S. Maertens,1
Roland Eils,1
Hermann-Josef Gröne,1
Norbert Gretz,1
Serguei Loukianiouk,1
Stefan Küffer,1
Priyanka Shahi,1
M. Kenzelmann,1
F. Allen,1
Chris Boursnell,1
L. Holm,1
K. Forslund,1
Ningze Pang,1
J. Clements,1
W. Budiharto,1
Michael I. Jordan,1
M. Kubát,1
A. Shami,1
Li Yang,1
Chandrasegar Thirumalai,1
Senthilkumar Mohan,1
Gautam Srivastava,1
S. Marsh,1
Paul Flicek,1
G. Maccari,1
Hridesh Rajan,1
Sumon Biswas,1
Mohammad Wardat,1
Yuxin Chen,1
Cong Ma,1
Yuejie Chi,1
D. Buckeridge,1
A. Chiolero,1
Z. Botev,1
Radislav Vaisman,1
Dirk P. Kroese,1
T. Taimre,1
F. Rios,1
J. Oliver,1
Chris Kollen,1
B. Hickson,1
Jonathon Shlens,1
O. Vinyals,1
Yangqing Jia,1
Lukasz Kaiser,1
Ashish Agarwal,1
R. Józefowicz,1
E. Brevdo,1
G. Corrado,1
F. Viégas,1
I. Sutskever,1
C. Citro,1
M. Wattenberg,1
C. Olah,1
A. Harp,1
Dandelion Mané,1
Xiaoqiang Zheng,1
M. Schuster,1
Kunal Talwar,1
Vincent Vanhoucke,1
M. Harman,1
Lei Ma,1
J Zhang,1
X. Gansel,1
M. Mary,1
A. Belkum,1
Spiros Athanasiou,1
Kostas Patroumpas,1
G. Giannopoulos,1
Xi Peng,1
Long Zhao,1
Dimitris N. Metaxas,1
Yu Tian,1
Mubbasir Kapadia,1
K. Gaffney,1
F. Toma,1
J. Sethian,1
Linda Hung,1
J. Gregoire,1
J. Yano,1
Joshua Schrier,1
Abbas Ourmazd,1
Panos Vassiliadis,1
Alkis Simitisis,1
T. Woyke,1
Anna Ratner,1
S. Jungbluth,1
E. Eloe-Fadrosh,1
Natalia N. Ivanova,1
N. Kyrpides,1
Rekha Seshadri,1
J. White,1
N. Varghese,1
Manoj Pillay,1
Marcel Huntemann,1
Krishna Palaniappan,1
Ken Chu,1
Jinghua Huang,1
Edward Kirton,1
I. Chen,1
Tatyana Smirnova,1
Roland Vollgraf,1
Han Xiao,1
Kashif Rasul,1
Michael Luggen,1
A. Waaler,1
Guillermo Vega-Gorgojo,1
Simen Heggestøyl,1
M. Giese,1
A.Y. Virasova,1
V. V. Oreshko,1
I. R. Gubaidullin,1
O.E. Khromov,1
D. Klimov,1
Dekang Lin,1
A. Gandomi,1
U. Reuter,1
Puhong Duan,1
Saeed Nosratabadi,1
A. Mosavi,1
Pedram Ghamisi,1
João Gama,1
Shahab S. Band,1
Ferdinánd Filip,1
Erna Budhiarti Nababan,1
Mahyuddin K M Nasution,1
Opim Salim Sitompul,1
J. Cordes,1
Gary Smith,1
Mary Jo Pugh,1
Ruth A. Perrin,1
Laurel A. Copeland,1
A. E. Lancaster,1
Helen P. Hazuda,1
Mary J. Bollinger,1
P. H. Noël,1
Chen-Pin Wang,1
B. Bauer-Marschallinger,1
R. MacMillan,1
T. Hengl,1
Marvin N. Wright,1
J. Leenaars,1
Maria Ruiperez González,1
M. Guevara,1
S. Mantel,1
N. Batjes,1
R. Vargas,1
X. Geng,1
Aleksandar Blagotić,1
E. Ribeiro,1
G. Heuvelink,1
Shangguan Wei,1
Jorge Mendes de Jesus,1
M. Kilibarda,1
Ichsani Wheeler,1
B. Kempen,1
Naftali Tishby,1
Leslie Vogt-Maranto,1
L. Daudet,1
I. Cirac,1
Kyle Cranmer,1
Giuseppe Carleo,1
Lenka Zdeborov'a,1
E. Ako,1
M. Roberts,1
A. Ruggiero,1
H. Prosch,1
Kangyu Ji,1
E. Gkrania-Klotsas,1
Zhangming Niu,1
Kang Zhang,1
Stephan Ursprung,1
Mishal N. Patel,1
Guang Yang,1
P. Liò,1
Maria Delgado Ortet,1
G. Langs,1
E. Jefferson,1
L. Beer,1
J. Hofmanninger,1
Tolou Shadbahr,1
T. Ai,1
J. Babar,1
A. Korhonen,1
C. McCague,1
N. Walton,1
G. Gozaliasl,1
Joseph Jacob,1
Matthew Thorpe,1
Michael Yeung,1
Jan Stanczuk,1
E. Sala,1
C. Schönlieb,1
Weizhe Lin,1
Paula Martin Gonzalez,1
J. Gilbey,1
H. Azadbakht,1
D. Driggs,1
Josh Lowe,1
J. H. Rudd,1
Xiaoxiang Zhu,1
Z. Teng,1
P. Teare,1
Kyle Bradley,1
Jingjing Tang,1
Markus Holzer,1
J. Preller,1
Conor Cafolla,1
M. Thillai,1
Christian Etmann,1
Y. Zha,1
J. Weir-McCall,1
